tool		Jip jip 1.0.2	Jip jip 1.0.2	Jip jip 1.0.2	Jip jip 1.0.2	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 1.0.0	Jip jip 1.0.0	Jip jip 1.0.0	Jip jip 1.0.0
run set		jip-api.SV-COMP23_assert_oox.ReachSafety-Java	jip-api.SV-COMP23_assert_oox.ReachSafety-Java	jip-api.SV-COMP23_assert_oox.ReachSafety-Java	jip-api.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-f-c.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-f-c.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-f-c.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-f-c.SV-COMP23_assert_oox.ReachSafety-Java	jip-yices2.SV-COMP23_assert_oox.ReachSafety-Java	jip-yices2.SV-COMP23_assert_oox.ReachSafety-Java	jip-yices2.SV-COMP23_assert_oox.ReachSafety-Java	jip-yices2.SV-COMP23_assert_oox.ReachSafety-Java
../sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
MinePump/spec1-5_product59.yml	true	TIMEOUT (true)	21.004798235	21.007370683999397	116.125696	TIMEOUT (true)	20.647230231	40.44923215699964	154.214400	TIMEOUT (true)	21.005274003	21.007686552999985	147.054592
MinePump/spec1-5_product6.yml	false	false	0.193752787	0.19410888600032195	22.958080	false	0.181763444	0.36021395700117864	39.219200	false	0.175183323	0.23245131400017272	31.899648
MinePump/spec1-5_product60.yml	true	TIMEOUT (true)	21.005109711	21.008027763999053	133.066752	TIMEOUT (true)	20.520081518	40.70634290399903	185.913344	TIMEOUT (true)	20.99065825	21.009063857	181.170176
MinePump/spec1-5_product61.yml	true	TIMEOUT (true)	21.010588927	21.013152984000044	254.832640	TIMEOUT (true)	20.101554811	37.1679322330001	324.517888	TIMEOUT (true)	21.012545974	21.014848161000373	326.434816
MinePump/spec1-5_product62.yml	true	TIMEOUT (true)	21.010407823	21.01289754299978	256.532480	TIMEOUT (true)	20.374848191	40.4276367629991	330.211328	TIMEOUT (true)	21.012406282	21.014771060000385	327.245824
MinePump/spec1-5_product63.yml	true	TIMEOUT (true)	21.000113012	21.00674954399983	115.974144	TIMEOUT (true)	20.361081497	40.422069235999516	154.025984	TIMEOUT (true)	21.005109086	21.00769983200007	146.845696
MinePump/spec1-5_product64.yml	true	TIMEOUT (true)	21.005760868	21.008198921999792	133.279744	TIMEOUT (true)	20.360344972	40.52988000000005	186.171392	TIMEOUT (true)	21.006953272	21.009709009999824	181.264384
MinePump/spec1-5_product7.yml	false	false	1.700877297	1.701381285000025	71.979008	false	1.888075511	3.7624757590001536	101.494784	false	1.685275819	1.6858797699997012	94.228480
MinePump/spec1-5_product8.yml	false	false	1.404943053	1.4054957210009889	60.178432	false	1.57788138	2.9608909050002694	86.036480	false	1.417184902	1.4181838769991373	78.835712
MinePump/spec1-5_product9.yml	false	false	0.169024173	0.16939410099985253	22.867968	false	0.164109456	0.3140314889988076	39.178240	false	0.159310713	0.16014925400031643	31.858688
algorithms/BellmanFord-FunSat01.yml	true	TIMEOUT (true)	21.002990336	21.005251253000097	69.189632	TIMEOUT (true)	20.4279571	40.70864190500106	87.130112	TIMEOUT (true)	21.003078744	21.005318163000084	80.965632
algorithms/BellmanFord-FunUnsat01.yml	false	false	0.068992083	0.06935036000140826	22.028288	false	0.05121036	0.08584122600041155	38.510592	false	0.048596837	0.06523875299990323	31.236096
algorithms/BellmanFord-MemSat01.yml	true	TIMEOUT (true)	21.002673719	21.005143919001057	68.603904	TIMEOUT (true)	20.388354461	40.616035988001386	85.159936	TIMEOUT (true)	21.003014913	21.005284670000037	80.605184
algorithms/BellmanFord-MemUnsat01.yml	false	false	0.025152982	0.025423530998523347	21.385216	false	0.025876446	0.05535686499933945	37.437440	false	0.028246405	0.08789052199972502	30.154752
algorithms/BinaryTreeSearch-FunSat01.yml	true	TIMEOUT (true)	21.005723475	21.008363120001377	138.084352	TIMEOUT (true)	20.395537189	40.633846314998664	146.182144	TIMEOUT (true)	20.991313977	21.008170910000445	148.795392
algorithms/BinaryTreeSearch-FunUnsat01.yml	false	false	0.023860503	0.024155646000508568	20.992000	false	0.021530863	0.0411060370006453	37.208064	false	0.023125391	0.07376575699981913	29.892608
algorithms/BinaryTreeSearch-MemSat01.yml	true	TIMEOUT (true)	21.01501105	21.01738523699896	373.084160	TIMEOUT (true)	20.395150949	40.30459551199965	747.966464	TIMEOUT (true)	21.035475668	21.037369759000285	686.653440
algorithms/BinaryTreeSearch-MemUnsat01.yml	false	false	0.02522254	0.025524361999487155	21.123072	false	0.0285989	0.052577920998373884	37.396480	false	0.024025145	0.03400426500047615	30.150656
algorithms/BinaryTreeSearch-MemUnsat02.yml	false	false	0.020807249	0.021134296999662183	21.123072	false	0.02571867	0.05375672099944495	37.371904	false	0.021139689	0.03106829500029562	30.027776
algorithms/InsertionSort-FunSat01.yml	true	TIMEOUT (true)	21.005810368	21.008495131000018	144.224256	TIMEOUT (true)	20.367708448	40.31854851200114	141.725696	TIMEOUT (true)	21.006010446	21.00867035200008	155.353088
