tool				Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0			Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0			Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0			Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0
run set				jip-e	jip-e	jip-e			jip-i2	jip-i2	jip-i2			jip-i1	jip-i1	jip-i1			jip	jip	jip
../sv-benchmarks/java/				status	cputime (s)	memory (MB)			status	cputime (s)	memory (MB)			status	cputime (s)	memory (MB)			status	cputime (s)	memory (MB)
algorithms/BellmanFord-FunSat01.yml	TRUE		44	TIMEOUT (true)	21.03360013	684.498944		49	TIMEOUT (true)	21.00844269	176.099328		49	TIMEOUT (true)	21.00827537	174.936064		16	TIMEOUT (true)	18.46045586	2002.67776
algorithms/BellmanFord-FunUnsat01.yml	FALSE		44	TIMEOUT (true)	21.03717484	767.700992		49	TIMEOUT (true)	21.00873182	175.845376		49	TIMEOUT (true)	21.00832383	176.14848		16	TIMEOUT (true)	19.62339879	2238.328832
algorithms/BellmanFord-MemSat01.yml	TRUE		44	TIMEOUT (true)	21.04253788	895.778816		49	TIMEOUT (true)	21.01358919	274.526208		49	TIMEOUT (true)	21.01347776	274.501632		16	TIMEOUT (true)	20.021007	2186.633216
algorithms/BellmanFord-MemUnsat01.yml	FALSE		44	TIMEOUT (true)	21.04826786	586.715136		49	TIMEOUT (true)	21.01373536	274.518016		49	TIMEOUT (true)	21.01380367	274.456576		16	TIMEOUT (true)	20.12818014	535.98208
algorithms/BinaryTreeSearch-FunSat01.yml	TRUE		44	TIMEOUT (true)	21.04829535	1064.603648		49	TIMEOUT (true)	21.02063569	431.828992		49	TIMEOUT (true)	21.02080024	431.824896		16	TIMEOUT (true)	20.14206351	2168.54528
algorithms/BinaryTreeSearch-FunUnsat01.yml	FALSE		44	TIMEOUT (true)	21.04854385	1031.262208		49	TIMEOUT (true)	21.02096222	429.318144		49	TIMEOUT (true)	21.02120249	423.268352		16	TIMEOUT (true)	20.15642791	2221.744128
algorithms/BinaryTreeSearch-MemSat01.yml	TRUE		44	TIMEOUT (true)	21.04985639	927.8464		49	TIMEOUT (true)	21.02113957	423.272448		49	TIMEOUT (true)	21.0212186	429.244416		16	TIMEOUT (true)	20.44376906	2253.176832
algorithms/BinaryTreeSearch-MemUnsat01.yml	FALSE		44	TIMEOUT (true)	21.05165291	1164.73856		49	TIMEOUT (true)	21.02133792	428.793856		49	TIMEOUT (true)	21.02126481	436.281344		16	TIMEOUT (true)	20.44845841	2223.22688
algorithms/BinaryTreeSearch-MemUnsat02.yml	FALSE		44	TIMEOUT (true)	21.0537826	1505.734656		49	TIMEOUT (true)	21.02646726	540.336128		49	TIMEOUT (true)	21.02650313	540.839936		16	TIMEOUT (true)	20.45002323	2244.624384
algorithms/InsertionSort-FunSat01.yml	TRUE		44	TIMEOUT (true)	21.06063374	1127.129088		49	TIMEOUT (true)	21.03097854	651.681792		49	TIMEOUT (true)	21.03062813	651.69408		16	TIMEOUT (true)	20.45712777	2307.641344
algorithms/InsertionSort-FunSat02.yml	TRUE		44	TIMEOUT (true)	21.08293697	2315.333632		49	TIMEOUT (true)	21.03362298	710.971392		49	TIMEOUT (true)	21.03416648	713.601024		16	TIMEOUT (true)	20.45858025	2235.527168
algorithms/InsertionSort-FunUnsat01.yml	FALSE		44	TIMEOUT (true)	21.08623394	2429.718528		49	TIMEOUT (true)	21.04426731	957.984768		49	TIMEOUT (true)	21.04471339	965.316608		16	TIMEOUT (true)	20.45982228	2291.11808
algorithms/InsertionSort-MemSat01.yml	TRUE		44	TIMEOUT (true)	21.08971181	2420.953088		49	TIMEOUT (true)	21.05536979	1245.61408		49	TIMEOUT (true)	21.05380852	1202.688		16	TIMEOUT (true)	21.03047773	608.002048
algorithms/InsertionSort-MemUnsat01.yml	FALSE		44	TIMEOUT (true)	21.09301899	2304.835584		49	TIMEOUT (true)	21.05756545	1310.8224		49	TIMEOUT (true)	21.05488839	1223.671808		16	TIMEOUT (true)	21.03832771	814.780416
algorithms/MergeSortIterative-FunSat01.yml	TRUE		44	TIMEOUT (true)	21.09311143	2390.822912		49	TIMEOUT (true)	21.0625806	1424.384		49	TIMEOUT (true)	21.05559493	1264.095232		16	TIMEOUT (true)	21.04187327	901.644288
algorithms/MergeSortIterative-FunSat02.yml	TRUE		44	TIMEOUT (true)	21.0937014	2283.692032		49	TIMEOUT (true)	21.06463255	1511.514112		49	TIMEOUT (true)	21.05883713	1344.786432		16	TIMEOUT (true)	21.06258585	1450.35264
algorithms/MergeSortIterative-FunUnsat01.yml	FALSE		44	TIMEOUT (true)	21.09680166	2952.691712		49	TIMEOUT (true)	21.06471324	1469.97248		49	TIMEOUT (true)	21.05915706	1354.231808		16	TIMEOUT (true)	21.0637631	1487.003648
algorithms/MergeSortIterative-MemSat01.yml	FALSE		44	TIMEOUT (true)	21.09826773	2541.830144		49	TIMEOUT (true)	21.06477445	1506.185216		49	TIMEOUT (true)	21.06182157	1430.933504		16	TIMEOUT (true)	21.06384073	1494.007808
algorithms/MergeSortIterative-MemUnsat01.yml	FALSE		44	TIMEOUT (true)	21.10062902	4728.897536		49	TIMEOUT (true)	21.08330047	2066.378752		49	TIMEOUT (true)	21.08351407	2077.290496		16	TIMEOUT (true)	21.06676184	1578.692608
algorithms/RedBlackTree-FunSat01.yml	TRUE		44	TIMEOUT (true)	21.10103423	3041.947648		49	TIMEOUT (true)	21.08411073	2075.168768		49	TIMEOUT (true)	21.08367512	2071.891968		16	TIMEOUT (true)	21.06883201	1615.765504
algorithms/RedBlackTree-FunUnsat01.yml	FALSE		44	TIMEOUT (true)	21.11506977	3279.069184		49	TIMEOUT (true)	21.08463928	2085.912576		49	TIMEOUT (true)	21.08405026	2077.937664		16	TIMEOUT (true)	21.07392454	1758.437376
algorithms/RedBlackTree-MemSat01.yml	TRUE		44	TIMEOUT (true)	21.11748253	2921.836544		49	TIMEOUT (true)	21.09452428	2399.670272		49	TIMEOUT (true)	21.09456044	2406.596608		16	TIMEOUT (true)	21.09837747	2469.777408
algorithms/RedBlackTree-MemUnsat01.yml	FALSE		44	TIMEOUT (true)	21.11785241	3115.618304		49	TIMEOUT (true)	21.10263954	2653.704192		49	TIMEOUT (true)	21.10281299	2653.872128		16	TIMEOUT (true)	21.12180312	3370.737664
algorithms/SortedListInsert-FunSat01.yml	TRUE		44	TIMEOUT (true)	21.11956284	3594.944512		49	TIMEOUT (true)	21.10440976	2723.319808		49	TIMEOUT (true)	21.10443816	2727.903232		16	TIMEOUT (true)	21.14269746	4152.807424
algorithms/SortedListInsert-FunSat02.yml	TRUE		44	TIMEOUT (true)	21.12369107	2954.903552		49	TIMEOUT (true)	21.10774722	2835.90656		49	TIMEOUT (true)	21.10759313	2830.47936		16	TIMEOUT (true)	21.1482809	4277.280768
algorithms/SortedListInsert-FunUnsat01.yml	FALSE		44	TIMEOUT (true)	21.1304219	3305.218048		49	TIMEOUT (true)	21.11024894	2900.525056		49	TIMEOUT (true)	21.10933986	2896.859136		16	TIMEOUT (true)	21.14970741	4388.732928
algorithms/SortedListInsert-MemSat01.yml	TRUE		44	TIMEOUT (true)	21.13716261	3024.388096		49	TIMEOUT (true)	21.12613641	3434.254336		49	TIMEOUT (true)	21.1254251	3428.081664		16	TIMEOUT (true)	21.15167318	4442.19392
algorithms/SortedListInsert-MemUnsat01.yml	FALSE		44	TIMEOUT (true)	21.17187072	2913.099776		49	TIMEOUT (true)	21.12919842	3566.456832		49	TIMEOUT (true)	21.12989831	3566.24384		16	TIMEOUT (true)	21.15232429	4503.396352
